Id,SalePrice
1,161301.28125
2,161220.53125
3,159514.859375
4,165697.96875
5,191024.953125
6,234065.203125
7,154330.515625
8,171392.828125
9,196440.640625
10,141443.953125
11,102845.2265625
12,157138.171875
13,257121.1875
14,142053.828125
15,118068.640625
16,156348.296875
17,236639.0625
18,115145.4296875
19,199629.109375
20,206505.25
21,158100.265625
22,179909.6875
23,142077.859375
24,178401.484375
25,139696.90625
26,205965.828125
27,236386.296875
28,176033.546875
29,137885.890625
30,197107.765625
31,160324.671875
32,129956.3203125
33,151424.640625
34,140521.96875
35,199713.65625
36,141502.5
37,215357.125
38,158731.328125
39,131659.84375
40,178293.953125
41,218835.765625
42,105768.9609375
43,123591.4140625
44,120440.1484375
45,166922.3125
46,167813.03125
47,125040.4609375
48,136471.03125
49,159374.046875
50,198474.71875
51,184656.046875
52,204540.703125
53,105992.3828125
54,156598.296875
55,186609.640625
56,174655.375
57,156264.546875
58,175701.8125
59,143053.21875
60,128169.0390625
61,175653.046875
62,211098.75
63,122164
64,212693.703125
65,158259.734375
66,150072.234375
67,226188.671875
68,191907.75
69,127531.2890625
70,180419.1875
71,127182.953125
72,168251.171875
73,166187.515625
74,113123.75
75,157275.84375
76,243231.6875
77,239254.59375
78,125501.3828125
79,119707.6640625
80,147940.28125
81,161556.96875
82,220393.625
83,202259.375
84,151567.625
85,187174.046875
86,212445.046875
87,145295.90625
88,182809.046875
89,120432.859375
90,157242.296875
91,140545.71875
92,228089.796875
93,168139.890625
94,114015.90625
95,174223.828125
96,146621.015625
97,165985.796875
98,204328.296875
99,187404.296875
100,177282.328125
101,190452.09375
102,157335.890625
103,177059.078125
104,188005.578125
105,135367.984375
106,166560.1875
107,186199.375
108,127150.125
109,152064.828125
110,132135.46875
111,105823.453125
112,179991.796875
113,144733.171875
114,138320.1875
115,178134.765625
116,141486.65625
117,130812.0546875
118,135003.96875
119,203232.484375
120,155762.65625
121,175376.15625
122,134102.203125
123,160720.15625
124,204205.296875
125,158806.546875
126,184751.25
127,162532.5
128,141066.171875
129,208316.375
130,177328.96875
131,143408.453125
132,211876.75
133,174004.4375
134,121688.9921875
135,187658.171875
136,125120.7421875
137,216421.03125
138,157750.46875
139,152288.234375
140,179613.671875
141,182746.953125
142,151463.734375
143,298258.1875
144,182249.140625
145,205641.84375
146,251993.859375
147,141176.453125
148,154870.9375
149,148416
150,166660.640625
151,198810.09375
152,189352.3125
153,110979.2421875
154,179022.984375
155,168689.8125
156,144857.296875
157,227895.171875
158,211907.875
159,131110.28125
160,194765.3125
161,133235.703125
162,160303.375
163,280331.21875
164,180398.21875
165,136140.84375
166,194117.15625
167,187439.4375
168,186705.75
169,131361.984375
170,164565.5625
171,160836.484375
172,191045.40625
173,223509.984375
174,183004.625
175,178265.109375
176,268617.78125
177,214316.40625
178,191536.484375
179,197555.03125
180,181169.78125
181,128975.515625
182,146322.96875
183,165762.5
184,157357
185,165791.34375
186,190341.265625
187,177854.5
188,119761.765625
189,208484.453125
190,136910.21875
191,145717.75
192,191662.078125
193,158938.515625
194,245304.34375
195,147249.4375
196,173566.953125
197,217824.203125
198,184686.6875
199,232504.359375
200,161516.609375
201,173563.46875
202,152944.34375
203,214834.109375
204,176225.828125
205,149932.515625
206,236806.8125
207,168342.328125
208,165573.03125
209,154062.953125
210,143965.78125
211,275354.8125
212,119375.546875
213,162996.484375
214,151345.734375
215,132672.1875
216,181303.484375
217,152294.109375
218,230317.84375
219,200854.8125
220,205702.75
221,144520.1875
222,230023.109375
223,144084.921875
224,246480.625
225,133206.59375
226,160554.421875
227,121836.734375
228,196536.53125
229,154306.421875
230,145325.84375
231,173143.78125
232,141258.78125
233,131374.65625
234,161857.515625
235,151985
236,144626.375
237,156426.515625
238,129801.453125
239,125588.4609375
240,193964.921875
241,154677.4375
242,114100.1328125
243,230816.921875
244,168600.953125
245,162038.25
246,176956.609375
247,191621.5625
248,201004.4375
249,158118.453125
250,329646.25
251,205770.59375
252,160065.515625
253,180614.640625
254,179839.46875
255,166375.09375
256,198478.8125
257,150062.078125
258,183278.296875
259,164399.71875
260,145988.875
261,190672.078125
262,211651.15625
263,138194.140625
264,139791.015625
265,243935.890625
266,143956.359375
267,139858.515625
268,143049.625
269,108434.7890625
270,149532.34375
271,206019.515625
272,196288.46875
273,187104.671875
274,180837.5625
275,150434.71875
276,93790.734375
277,170669.53125
278,172320.390625
279,191434.03125
280,215379.953125
281,135211.359375
282,171363.484375
283,129856.6484375
284,167572.6875
285,211573.5
286,220435.59375
287,195989.03125
288,161229.265625
289,232108.375
290,196642.296875
291,215355.21875
